FCC,Other ID,RA [deg],DEC [deg],Vr_NED/Maddox [km/s],e_Vr [km/s],Vr_Ref
,LSBG F359-060,58.514244,-36.063653,1389.0,5.0,2005ApJS..160..149S
,LSBG F416-012,42.949875,-30.1081,1079.0,64.0,20032dF...C...0000C
,LSBG F418-009,53.41272260079609,-28.957287616684848,1751.0,64.0,20012dF...C...0000C
,LSBG F418-036,51.733684693742504,-30.709812451593557,1379.0,89.0,20032dF...C...0000C
,LSBG F418-045,53.04726442354834,-31.483363685547804,1229.0,89.0,20032dF...C...0000C
,LSBG F418-047,52.66804522829988,-31.933902390464926,1606.0,45.0,20096dF...C...0000J
,LSBG F418-049,52.08000846736938,-31.770004226153354,869.0,89.0,20032dF...C...0000C
,LSBG F418-050,51.86174594382996,-31.8335325025349,1199.0,0.0,2017ApJ...843...16K
,LSBG F418-055,50.86614310882008,-31.268952438713416,1289.0,89.0,20032dF...C...0000C
,NGC 1326B,51.3329167,-36.385,999.0,1.0,2001A&A...376...98S
,NGC 1339,52.02916666666667,-32.28611111111111,1392.0,3.0,1998A&AS..133..325G
,NGC 1340,52.08333,-31.068055,1241.0,15.0,1992CORV..C...0000F
,NGC 1365,53.4,-36.14111,1636.0,1.0,1996ApJ...463...60B
,NGC 1366,53.473667,-31.194111,1231.0,19.0,2008AJ....135.2424O
,NGC 1406,54.8466,-31.3227,1075.0,3.0,1996ApJ...463...60B
,NGC 1484,58.583875,-36.968889,1040.0,3.0,1998A&AS..130..333T
,NGC 1531,62.997167,-32.850806,1190.0,24.0,1991RC3.9.C...0000d
,NGC 1532,63.018042,-32.874222,1040.0,5.0,2006HIPAS.C...0000:
,NGC 1537,63.419625,-31.645417,1429.0,18.0,2008AJ....135.2424O
,NGFS J033625-370731,54.1048,-37.1252,1590.0,0.0,2019MNRAS.490.1666M
,NGFS J033700-352035,54.2492,-35.3432,1964.0,30.0,2007A&A...464L..21B
,PGC 3182664,49.210958,-33.301139,1679.0,64.0,20032dF...C...0000C
,[BAL2007] newdw1,55.325475,-35.4770722,1750.0,15.0,2007A&A...464L..21B
,[BAL2007] newdw2,54.986,-35.622,1770.0,14.0,2007A&A...464L..21B
,[BAL2007] newdw4,53.8987,-35.2906,2373.0,14.0,2007A&A...464L..21B
